table_name,column_name,data_type
corpus_chunks,id,uuid
corpus_chunks,document_id,uuid
corpus_chunks,collection_id,uuid
corpus_chunks,chunk_index,integer
corpus_chunks,content,text
corpus_chunks,content_hash,text
corpus_chunks,token_count,integer
corpus_chunks,metadata,jsonb
corpus_chunks,embedding,USER-DEFINED
corpus_chunks,created_at,timestamp with time zone
dwxz_rag_chunks,id,uuid
dwxz_rag_chunks,document_id,uuid
dwxz_rag_chunks,knowledge_base_id,uuid
dwxz_rag_chunks,content,text
dwxz_rag_chunks,chunk_index,integer
dwxz_rag_chunks,metadata,jsonb
dwxz_rag_chunks,created_at,timestamp without time zone
dwxz_rag_chunks,embedding,USER-DEFINED
