title,status,created_at,chunks
HSKHSK标准教程6下rec,ready,2026-04-20 19:37:21.202083+00,21
HSKHSK标准教程6上rec,ready,2026-04-20 19:37:05.78185+00,21
HSKHSK标准教程5 上rec,ready,2026-04-20 19:36:09.98662+00,17
HSKHSK标准教程  4  下rec,ready,2026-04-20 19:35:30.266099+00,15
HSKHSK标准教程  4  上rec,ready,2026-04-20 19:35:15.722974+00,13
HSKHSK标准教程  3rec,ready,2026-04-20 19:34:56.809068+00,18
HSKHSK标准教程  2rec,ready,2026-04-20 19:34:34.350822+00,13
HSKHSk1 coursebookrec,ready,2026-04-20 19:34:26.723672+00,13
第一册_part6,ready,2026-04-20 13:46:47.785736+00,13
第一册_part5,ready,2026-04-20 13:46:43.872834+00,11
