table_schema,table_name,col_count
public,clf_ai_provider_config,9
public,clf_atoms,11
public,clf_attempts,7
public,clf_characters,24
public,clf_chengyu,25
public,clf_chengyu_progress,9
public,clf_chunk_atoms,3
public,clf_chunk_embeddings,4
public,clf_class_members,6
public,clf_classes,6
public,clf_concepts,21
public,clf_content_items,20
public,clf_content_progress,7
public,clf_corpus,7
public,clf_corpus_chunks,10
public,clf_courses,12
public,clf_dialogue_turns,12
public,clf_grammar,21
public,clf_grammar_exercises,9
public,clf_grammar_progress,7
public,clf_grammar_topics,10
public,clf_homework,11
public,clf_homework_submissions,15
public,clf_idioms,22
public,clf_item_tags,3
public,clf_knowledge_chunks,14
public,clf_learner_profiles,13
public,clf_levels,14
public,clf_lianzi_progress,8
public,clf_links,7
public,clf_materials,11
public,clf_media,13
public,clf_modules,13
public,clf_notices,7
public,clf_panda_assets,7
public,clf_panda_emotions,6
public,clf_pending_registrations,21
public,clf_poems,32
public,clf_progress,9
public,clf_prompt_templates,7
public,clf_pt_messages,5
public,clf_pt_threads,8
public,clf_quicklogin_sessions,6
public,clf_quicklogin_tokens,10
public,clf_radicals,14
public,clf_riddle_attempts,10
public,clf_riddles,22
public,clf_scenario_lines,10
public,clf_scenarios,17
public,clf_sessions,10
public,clf_sources,11
public,clf_stories,14
public,clf_story_pages,9
public,clf_tags,5
public,clf_texts,21
public,clf_tier_modules,2
public,clf_tiers,10
public,clf_unit_items,6
public,clf_unit_progress,8
public,clf_units,15
public,clf_user_learning_state,14
public,clf_user_learning_state_effective,15
public,clf_user_modules,6
public,clf_user_profiles,16
public,clf_words,17
public,clf_words_log,8
public,content_chunks,12
public,corpus_chunks,10
public,corpus_collections,9
public,corpus_documents,20
public,corpus_subjects,7
public,dwxz_rag_chunks,8
