table_name,column_name,data_type
character_with_sources,mnemonic_zh,text
character_with_sources,image_url,text
character_with_sources,illustration_url,text
character_with_sources,mnemonic_it,text
character_with_sources,etymology,text
character_with_sources,mnemonic_story_it,text
character_with_sources,mnemonic_story_zh,text
character_with_sources,mnemonic_story_en,text
character_with_sources,mnemonic_svg,text
character_with_sources,mnemonic_image_url,text
character_with_sources,mnemonic_en,text
clf_characters,image_url,text
clf_concepts,image_url,text
clf_idioms,image_url,text
clf_idioms,image_scene,text
clf_panda_assets,image_url,text
clf_poems,image_prompt,text
clf_poems,image_url,text
clf_radicals,image_url,text
clf_texts,image_url,text
clf_words,image_url,text
hanzi_reference,etymology,jsonb
jgw_articulation_diagrams,image_url,text
jgw_characters,etymology,text
jgw_characters,mnemonic_it,text
jgw_characters,illustration_url,text
jgw_characters,image_url,text
jgw_characters,mnemonic_story_it,text
jgw_characters,mnemonic_story_zh,text
jgw_characters,mnemonic_story_en,text
jgw_characters,mnemonic_svg,text
jgw_characters,mnemonic_image_url,text
jgw_characters,mnemonic_en,text
jgw_characters,mnemonic_zh,text
jgw_chengyu,image_style,text
jgw_chengyu,image_url,text
jgw_chengyu,image_scene,text
jgw_panda_assets,image_url,text
jgw_poems,image_prompt,text
jgw_words,image_url,text
v_characters_enriched,image_url,text
v_characters_enriched,mnemonic_it,text
v_characters_enriched,mnemonic_en,text
v_characters_enriched,mnemonic_zh,text
