table_name,column_name,data_type
character_extraction_jobs,id,uuid
character_extraction_jobs,source_type,text
character_extraction_jobs,source_id,uuid
character_extraction_jobs,source_collection_id,uuid
character_extraction_jobs,extraction_method,text
character_extraction_jobs,status,text
character_extraction_jobs,total_candidates,integer
character_extraction_jobs,total_added,integer
character_extraction_jobs,total_updated,integer
character_extraction_jobs,started_at,timestamp without time zone
character_extraction_jobs,completed_at,timestamp without time zone
character_extraction_jobs,started_by,uuid
character_extraction_jobs,error_message,text
character_extraction_jobs,source_label,text
character_extraction_jobs,total_skipped,integer
character_extraction_jobs,candidates,jsonb
character_extraction_jobs,config,jsonb
character_sets,character_set_catalog,name
character_sets,character_set_schema,name
character_sets,character_set_name,name
character_sets,character_repertoire,name
character_sets,form_of_use,name
character_sets,default_collate_catalog,name
character_sets,default_collate_schema,name
character_sets,default_collate_name,name
character_source_occurrences,id,uuid
character_source_occurrences,character_id,uuid
character_source_occurrences,source_type,text
character_source_occurrences,source_id,uuid
character_source_occurrences,source_label,text
character_source_occurrences,subject_slug,text
character_source_occurrences,grade_level,text
character_source_occurrences,lesson_name,text
character_source_occurrences,page_num,integer
character_source_occurrences,extracted_at,timestamp without time zone
character_source_occurrences,collection_slug,text
character_source_occurrences,chunk_id,uuid
character_source_occurrences,job_id,uuid
character_with_sources,id,uuid
character_with_sources,glyph_modern,text
character_with_sources,glyph_trad,text
character_with_sources,pinyin,text
character_with_sources,pinyin_tone,integer
character_with_sources,radical,text
character_with_sources,pictograph_type,text
character_with_sources,geometry,jsonb
character_with_sources,semantics,jsonb
character_with_sources,evolution,jsonb
character_with_sources,svg_jiaguwen,text
character_with_sources,svg_modern,text
character_with_sources,svg_url,text
character_with_sources,thumbnail_url,text
character_with_sources,meaning_zh,text
character_with_sources,meaning_en,text
character_with_sources,mnemonic_zh,text
character_with_sources,mnemonic_en,text
character_with_sources,embedding,USER-DEFINED
character_with_sources,inscription_count,integer
character_with_sources,verified,boolean
character_with_sources,source,text
character_with_sources,created_at,timestamp with time zone
character_with_sources,updated_at,timestamp with time zone
character_with_sources,meaning_it,text
character_with_sources,strokes,integer
character_with_sources,difficulty,integer
character_with_sources,set_id,text
character_with_sources,status,text
character_with_sources,mnemonic_image_url,text
character_with_sources,mnemonic_svg,text
character_with_sources,mnemonic_story_en,text
character_with_sources,mnemonic_story_zh,text
character_with_sources,mnemonic_story_it,text
character_with_sources,etymology,text
character_with_sources,mnemonic_it,text
character_with_sources,stroke_count,integer
character_with_sources,example_word_zh,text
character_with_sources,example_word_en,text
character_with_sources,illustration_url,text
character_with_sources,glyph_oracle,text
character_with_sources,tags,ARRAY
character_with_sources,source_id,uuid
character_with_sources,image_url,text
character_with_sources,visual_description,text
character_with_sources,hsk_level,integer
character_with_sources,renjiao_grade,text
character_with_sources,renjiao_lesson,integer
character_with_sources,renjiao_type,text
character_with_sources,ai_filled_at,timestamp without time zone
character_with_sources,human_edited_at,timestamp without time zone
character_with_sources,ai_confidence,numeric
character_with_sources,needs_review,boolean
character_with_sources,first_source_label,text
character_with_sources,all_source_labels,ARRAY
character_with_sources,source_count,bigint
character_with_sources,subjects,ARRAY
character_with_sources,collections,ARRAY
clf_characters,id,uuid
clf_characters,character,text
clf_characters,pinyin,text
clf_characters,tones,ARRAY
