table_name,column_name,data_type
clf_chengyu,id,uuid
clf_chengyu,idiom,text
clf_chengyu,pinyin,text
clf_chengyu,meaning_zh,text
clf_chengyu,meaning_en,text
clf_chengyu,meaning_it,text
clf_chengyu,story_zh,text
clf_chengyu,story_en,text
clf_chengyu,story_it,text
clf_chengyu,example_zh,text
clf_chengyu,example_en,text
clf_chengyu,difficulty,integer
clf_chengyu,hsk_level,integer
clf_chengyu,theme,text
clf_chengyu,image_url,text
clf_chengyu,image_style,text
clf_chengyu,image_scene,text
clf_chengyu,sort_order,integer
clf_chengyu,active,boolean
clf_chengyu,related_grammar_topic_id,text
clf_chengyu,related_character_ids,ARRAY
clf_chengyu,created_at,timestamp with time zone
clf_chengyu,updated_at,timestamp with time zone
clf_chengyu,image_prompt,text
clf_chengyu,image_provider,text
clf_grammar_topics,id,text
clf_grammar_topics,title_zh,text
clf_grammar_topics,title_en,text
clf_grammar_topics,title_it,text
clf_grammar_topics,level,integer
clf_grammar_topics,prereq_ids,ARRAY
clf_grammar_topics,explanation,text
clf_grammar_topics,examples,jsonb
clf_grammar_topics,order_idx,integer
clf_grammar_topics,created_at,timestamp with time zone
clf_poems,id,uuid
clf_poems,title,text
clf_poems,title_en,text
clf_poems,title_it,text
clf_poems,author,text
clf_poems,dynasty,text
clf_poems,dynasty_en,text
clf_poems,type,text
clf_poems,difficulty,integer
clf_poems,lines,jsonb
clf_poems,pinyin_map,jsonb
clf_poems,translation_zh,text
clf_poems,translation_en,text
clf_poems,translation_it,text
clf_poems,background_zh,text
clf_poems,background_en,text
clf_poems,background_it,text
clf_poems,notes_zh,text
clf_poems,notes_en,text
clf_poems,image_url,text
clf_poems,image_prompt,text
clf_poems,audio_url,text
clf_poems,tags,ARRAY
clf_poems,level,integer
clf_poems,age_min,integer
clf_poems,active,boolean
clf_poems,sort_order,integer
clf_poems,created_at,timestamp with time zone
clf_poems,notes_it,text
clf_poems,audio_voice,text
clf_poems,audio_provider,text
clf_poems,audio_duration,integer
clf_riddles,id,uuid
clf_riddles,riddle_text,text
clf_riddles,answer,text
clf_riddles,answer_type,text
clf_riddles,category_hint,text
clf_riddles,explanation,text
clf_riddles,level,integer
clf_riddles,hints,jsonb
clf_riddles,source,text
clf_riddles,status,text
clf_riddles,upvotes,integer
clf_riddles,downvotes,integer
clf_riddles,generated_by,text
clf_riddles,generation_meta,jsonb
clf_riddles,created_at,timestamp with time zone
clf_riddles,updated_at,timestamp with time zone
clf_riddles,approved_at,timestamp with time zone
clf_riddles,approved_by,uuid
clf_riddles,illustration_url,text
clf_riddles,images_generated_at,timestamp with time zone
clf_riddles,illustration_prompt,text
clf_riddles,illustration_provider,text
clf_words,id,uuid
clf_words,word_zh,text
clf_words,pinyin,text
clf_words,meaning_en,text
clf_words,meaning_it,text
clf_words,meaning_zh,text
clf_words,example_zh,text
clf_words,example_en,text
clf_words,example_it,text
clf_words,image_url,text
clf_words,theme,text
