table_name,column_name,constraint_name
character_source_occurrences,character_id,character_source_occurrences_character_id_source_type_sourc_key
character_source_occurrences,lesson_name,character_source_occurrences_character_id_source_type_sourc_key
character_source_occurrences,source_id,character_source_occurrences_character_id_source_type_sourc_key
character_source_occurrences,source_type,character_source_occurrences_character_id_source_type_sourc_key
clf_characters,character,clf_characters_character_key
clf_chengyu,idiom,clf_chengyu_idiom_unique
clf_grammar,pattern,clf_grammar_pattern_key
clf_idioms,idiom,clf_idioms_idiom_key
clf_learner_profiles,device_token,clf_learner_profiles_device_token_key
clf_levels,level,clf_levels_level_key
clf_links,link_type,clf_links_source_table_source_id_target_table_target_id_lin_key
clf_links,source_id,clf_links_source_table_source_id_target_table_target_id_lin_key
clf_links,source_table,clf_links_source_table_source_id_target_table_target_id_lin_key
clf_links,target_id,clf_links_source_table_source_id_target_table_target_id_lin_key
clf_links,target_table,clf_links_source_table_source_id_target_table_target_id_lin_key
clf_panda_assets,emotion,clf_panda_assets_emotion_style_key
clf_panda_assets,style,clf_panda_assets_emotion_style_key
clf_poems,author,clf_poems_title_author_key
clf_poems,title,clf_poems_title_author_key
clf_progress,device_token,clf_progress_device_token_item_table_item_id_practiced_at_key
clf_progress,item_id,clf_progress_device_token_item_table_item_id_practiced_at_key
clf_progress,item_table,clf_progress_device_token_item_table_item_id_practiced_at_key
clf_progress,practiced_at,clf_progress_device_token_item_table_item_id_practiced_at_key
clf_quicklogin_sessions,device_id,clf_quicklogin_sessions_token_device_id_key
clf_quicklogin_sessions,token,clf_quicklogin_sessions_token_device_id_key
clf_radicals,radical,clf_radicals_radical_key
clf_tags,tag,clf_tags_tag_key
clf_units,level,clf_units_level_subject_unit_number_key
clf_units,subject,clf_units_level_subject_unit_number_key
clf_units,unit_number,clf_units_level_subject_unit_number_key
clf_words,word_zh,clf_words_word_zh_key
corpus_collections,slug,corpus_collections_slug_key
hanzi_pronunciations,glyph,hanzi_pronunciations_glyph_pinyin_key
hanzi_pronunciations,pinyin,hanzi_pronunciations_glyph_pinyin_key
hsk_grammar,point_id,hsk_grammar_point_id_key
hsk_syllables,syllable,hsk_syllables_syllable_key
jgw_auth_requests,request_token,jgw_auth_requests_request_token_key
jgw_characters,glyph_modern,jgw_characters_glyph_modern_key
jgw_characters,glyph_modern,jgw_characters_glyph_set_key
jgw_characters,set_id,jgw_characters_glyph_set_key
jgw_contributors,user_id,jgw_contributors_user_id_key
jgw_device_sessions,device_token,jgw_device_sessions_device_token_key
jgw_featured,feature_date,jgw_featured_feature_date_key
jgw_grammar_patterns,pattern,jgw_grammar_patterns_pattern_key
jgw_hsk_words,hsk_level,jgw_hsk_words_word_hsk_level_key
jgw_hsk_words,word,jgw_hsk_words_word_hsk_level_key
jgw_invites,token,jgw_invites_token_key
jgw_panda_assets,emotion,jgw_panda_assets_emotion_key
jgw_poems,author,jgw_poems_title_author_key
jgw_poems,title,jgw_poems_title_author_key
jgw_point_rules,action,jgw_point_rules_action_key
jgw_registrations,status_token,jgw_registrations_status_token_key
jgw_registrations,username,jgw_registrations_username_unique
jgw_registrations,username,jgw_registrations_username_key
jgw_strokes,character_id,jgw_strokes_character_id_stroke_index_key
jgw_strokes,stroke_index,jgw_strokes_character_id_stroke_index_key
pinyin_progress,item_index,pinyin_progress_user_id_level_id_item_index_key
pinyin_progress,level_id,pinyin_progress_user_id_level_id_item_index_key
pinyin_progress,user_id,pinyin_progress_user_id_level_id_item_index_key
