grantee,privilege_type
authenticated,TRIGGER
authenticated,REFERENCES
authenticated,TRUNCATE
authenticated,DELETE
authenticated,UPDATE
authenticated,SELECT
authenticated,INSERT
anon,TRIGGER
anon,REFERENCES
anon,TRUNCATE
anon,DELETE
anon,UPDATE
anon,SELECT
anon,INSERT
service_role,TRIGGER
service_role,REFERENCES
service_role,TRUNCATE
service_role,DELETE
service_role,UPDATE
service_role,SELECT
service_role,INSERT
postgres,TRIGGER
postgres,REFERENCES
postgres,TRUNCATE
postgres,DELETE
postgres,UPDATE
postgres,SELECT
postgres,INSERT
