table_name,column_name,constraint_name
attendance,class_id,attendance_class_id_student_id_date_key
attendance,date,attendance_class_id_student_id_date_key
attendance,student_id,attendance_class_id_student_id_date_key
class_attendance,class_id,class_attendance_class_id_student_id_date_key
class_attendance,date,class_attendance_class_id_student_id_date_key
class_attendance,student_id,class_attendance_class_id_student_id_date_key
class_students,class_id,class_students_class_id_student_id_key
class_students,student_id,class_students_class_id_student_id_key
dwxz_panda_assets,emotion,dwxz_panda_assets_emotion_key
exhibition_plans,product_id,exhibition_plans_product_id_key
invitation_codes,code,invitation_codes_code_key
invites,code,invites_code_key
panda_assets,emotion,panda_assets_emotion_key
student_learning_profiles,student_id,student_learning_profiles_student_id_key
student_points,student_id,student_points_student_id_key
system_settings,setting_key,system_settings_setting_key_key
teacher_teaching_profiles,teacher_id,teacher_teaching_profiles_teacher_id_key
teaching_progress,class_id,teaching_progress_class_id_hsk_level_point_key_key
teaching_progress,hsk_level,teaching_progress_class_id_hsk_level_point_key_key
teaching_progress,point_key,teaching_progress_class_id_hsk_level_point_key_key
training_images,storage_path,training_images_storage_path_key
user_points,user_id,user_points_user_id_key
users,email,users_email_key
users,username,users_username_key
