total,char,freq,context
200,倮,759,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,灶,459,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,伽,457,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,佟,322,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,伲,312,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,佻,287,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,蚤,278,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,佴,257,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,佗,251,中文 2 皂 蚤 佗 燥赠 i 皂 蚤 佗燥 曾 蚤侑 赠 i 曾 蚤侑 1 描 一描 ， 写一写 （ Lea r n t o w r it e. ） 课 堂 练习 E xe r c is e s i
200,澡,244,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,中,225,Pr e f a ce Z h o n g w en ( M a nd a r i n  C  h i n e s e L a n g u age) co u r s e ma t e r i a l
200,文,217,Pr e f a ce Z h o n g w en ( M a nd a r i n  C  h i n e s e L a n g u age) co u r s e ma t e r i a l
200,我,198,"中文 2 4 ．课 文： 讲礼貌 24 Text ： P r ac t is e  G  oo d M a nn e rs 阅 读： 拍 手歌 30 R ea d i ng ：  C  l a pp "
200,扎,178,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,怎,162,中文 2 皂 蚤 佗 燥赠 i 皂 蚤 佗燥 曾 蚤侑 赠 i 曾 蚤侑 1 描 一描 ， 写一写 （ Lea r n t o w r it e. ） 课 堂 练习 E xe r c is e s i
200,侬,160,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,儿,155,"中文 2 p i n y i n a r e r emove d f r o m t h e 1 2 t e x t b o o k s . Ho w eve r , e xe r c i s e s"
200,倩,150,"[image-only page 14 — OCR disabled, render with external tool]

中文 2 我 在 中 文学 校 学习。 老 师教我们 说 汉语 ，写 汉"
200,一,149,"中文 2 p i n y i n a r e r emove d f r o m t h e 1 2 t e x t b o o k s . Ho w eve r , e xe r c i s e s"
200,的,146,"中文 2 4 ．课 文： 讲礼貌 24 Text ： P r ac t is e  G  oo d M a nn e rs 阅 读： 拍 手歌 30 R ea d i ng ：  C  l a pp "
