query_type,table_name,c1,c2,c3,c4,c5,c6
CHECK,ai_agent_conversations,2200_17776_6_not_null,content IS NOT NULL,,,,
CHECK,ai_agent_conversations,2200_17776_5_not_null,role IS NOT NULL,,,,
CHECK,ai_agent_conversations,2200_17776_3_not_null,agent_type IS NOT NULL,,,,
CHECK,ai_agent_conversations,2200_17776_1_not_null,id IS NOT NULL,,,,
CHECK,ai_jobs,2200_37294_1_not_null,id IS NOT NULL,,,,
CHECK,ai_recommendations,2200_17785_1_not_null,id IS NOT NULL,,,,
CHECK,ai_settings,2200_17870_1_not_null,id IS NOT NULL,,,,
CHECK,ai_usage_logs,2200_24921_2_not_null,provider IS NOT NULL,,,,
CHECK,ai_usage_logs,2200_24921_1_not_null,id IS NOT NULL,,,,
CHECK,attendance,2200_36117_1_not_null,id IS NOT NULL,,,,
CHECK,attendance,2200_36117_4_not_null,date IS NOT NULL,,,,
CHECK,attendance_records,2200_17637_1_not_null,id IS NOT NULL,,,,
CHECK,attendance_sessions,2200_17622_4_not_null,session_date IS NOT NULL,,,,
CHECK,attendance_sessions,2200_17622_1_not_null,id IS NOT NULL,,,,
CHECK,chengyu,chengyu_hsk_level_check,((hsk_level >= 1) AND (hsk_level <= 6)),,,,
CHECK,chengyu,2200_25069_1_not_null,id IS NOT NULL,,,,
CHECK,chengyu,2200_25069_2_not_null,chengyu IS NOT NULL,,,,
CHECK,class_attendance,2200_36279_1_not_null,id IS NOT NULL,,,,
CHECK,class_attendance,2200_36279_4_not_null,date IS NOT NULL,,,,
CHECK,class_attendance,class_attendance_status_check,"(status = ANY (ARRAY['present'::text, 'absent'::text, 'late'::text, 'excused'::text]))",,,,
CHECK,class_enrollments,2200_17576_1_not_null,id IS NOT NULL,,,,
CHECK,class_lessons,2200_36265_3_not_null,title IS NOT NULL,,,,
CHECK,class_lessons,2200_36265_1_not_null,id IS NOT NULL,,,,
CHECK,class_students,2200_36095_1_not_null,id IS NOT NULL,,,,
CHECK,classes,2200_17559_1_not_null,id IS NOT NULL,,,,
CHECK,classes,2200_17559_4_not_null,name IS NOT NULL,,,,
CHECK,custom_knowledge_points,2200_38435_1_not_null,id IS NOT NULL,,,,
CHECK,dwxz_panda_assets,2200_36254_2_not_null,emotion IS NOT NULL,,,,
CHECK,dwxz_panda_assets,2200_36254_1_not_null,id IS NOT NULL,,,,
CHECK,events,2200_33609_1_not_null,id IS NOT NULL,,,,
CHECK,exhibition_plans,2200_18070_1_not_null,id IS NOT NULL,,,,
CHECK,exhibition_plans,2200_18070_2_not_null,product_id IS NOT NULL,,,,
CHECK,grades,2200_36139_1_not_null,id IS NOT NULL,,,,
CHECK,homework,2200_17589_13_not_null,due_date IS NOT NULL,,,,
CHECK,homework,2200_17589_4_not_null,title IS NOT NULL,,,,
CHECK,homework,2200_17589_1_not_null,id IS NOT NULL,,,,
CHECK,homework_submissions,2200_17606_1_not_null,id IS NOT NULL,,,,
CHECK,hsk_audio_files,2200_24994_1_not_null,id IS NOT NULL,,,,
CHECK,hsk_audio_files,2200_24994_3_not_null,filename IS NOT NULL,,,,
CHECK,hsk_test_answers,2200_25037_1_not_null,id IS NOT NULL,,,,
CHECK,hsk_test_attempts,2200_25013_1_not_null,id IS NOT NULL,,,,
CHECK,hsk_test_attempts,2200_25013_2_not_null,student_id IS NOT NULL,,,,
CHECK,hsk_test_papers,hsk_test_papers_hsk_level_check,((hsk_level >= 1) AND (hsk_level <= 6)),,,,
CHECK,hsk_test_papers,2200_24931_2_not_null,name IS NOT NULL,,,,
CHECK,hsk_test_papers,2200_24931_1_not_null,id IS NOT NULL,,,,
CHECK,hsk_test_papers,2200_24931_4_not_null,hsk_level IS NOT NULL,,,,
CHECK,hsk_test_questions,hsk_test_questions_difficulty_check,((difficulty >= 1) AND (difficulty <= 5)),,,,
CHECK,hsk_test_questions,2200_24967_1_not_null,id IS NOT NULL,,,,
CHECK,hsk_test_questions,2200_24967_4_not_null,question_number IS NOT NULL,,,,
CHECK,hsk_test_questions,2200_24967_5_not_null,question_type IS NOT NULL,,,,
CHECK,hsk_test_sections,2200_24949_1_not_null,id IS NOT NULL,,,,
CHECK,hsk_test_sections,2200_24949_3_not_null,section_type IS NOT NULL,,,,
CHECK,invitation_codes,2200_17698_3_not_null,role IS NOT NULL,,,,
CHECK,invitation_codes,2200_17698_2_not_null,code IS NOT NULL,,,,
CHECK,invitation_codes,2200_17698_1_not_null,id IS NOT NULL,,,,
CHECK,invites,2200_36171_3_not_null,role IS NOT NULL,,,,
CHECK,invites,2200_36171_1_not_null,id IS NOT NULL,,,,
CHECK,invites,2200_36171_2_not_null,code IS NOT NULL,,,,
CHECK,join_requests,2200_36159_1_not_null,id IS NOT NULL,,,,
CHECK,knowledge_categories,2200_22663_2_not_null,name IS NOT NULL,,,,
CHECK,knowledge_categories,2200_22663_1_not_null,id IS NOT NULL,,,,
CHECK,knowledge_materials,2200_22643_1_not_null,id IS NOT NULL,,,,
CHECK,material_categories,2200_33593_1_not_null,id IS NOT NULL,,,,
CHECK,material_categories,2200_33593_2_not_null,name IS NOT NULL,,,,
CHECK,messages,2200_17894_1_not_null,id IS NOT NULL,,,,
CHECK,messages,2200_17894_5_not_null,content IS NOT NULL,,,,
CHECK,notifications,2200_17884_3_not_null,type IS NOT NULL,,,,
CHECK,notifications,2200_17884_1_not_null,id IS NOT NULL,,,,
CHECK,notifications,2200_17884_4_not_null,title IS NOT NULL,,,,
CHECK,panda_assets,2200_36209_2_not_null,emotion IS NOT NULL,,,,
CHECK,panda_assets,2200_36209_1_not_null,id IS NOT NULL,,,,
CHECK,parent_messages,2200_39632_1_not_null,id IS NOT NULL,,,,
CHECK,parent_student_links,2200_39617_2_not_null,student_id IS NOT NULL,,,,
CHECK,parent_student_links,2200_39617_1_not_null,parent_id IS NOT NULL,,,,
CHECK,point_transactions,2200_36233_3_not_null,amount IS NOT NULL,,,,
CHECK,point_transactions,2200_36233_1_not_null,id IS NOT NULL,,,,
CHECK,points_transactions,2200_17665_3_not_null,points IS NOT NULL,,,,
CHECK,points_transactions,2200_17665_1_not_null,id IS NOT NULL,,,,
CHECK,points_transactions,2200_17665_4_not_null,type IS NOT NULL,,,,
CHECK,rag_chunks,2200_17827_4_not_null,content IS NOT NULL,,,,
CHECK,rag_chunks,2200_17827_1_not_null,id IS NOT NULL,,,,
CHECK,rag_config,2200_17846_1_not_null,id IS NOT NULL,,,,
CHECK,rag_documents,2200_17811_3_not_null,title IS NOT NULL,,,,
CHECK,rag_documents,2200_17811_1_not_null,id IS NOT NULL,,,,
CHECK,rag_files,2200_36185_1_not_null,id IS NOT NULL,,,,
CHECK,rag_files,2200_36185_2_not_null,name IS NOT NULL,,,,
CHECK,rag_knowledge_bases,2200_17796_1_not_null,id IS NOT NULL,,,,
CHECK,rag_knowledge_bases,2200_17796_2_not_null,name IS NOT NULL,,,,
CHECK,rag_query_logs,2200_17861_3_not_null,query IS NOT NULL,,,,
CHECK,rag_query_logs,2200_17861_1_not_null,id IS NOT NULL,,,,
CHECK,reward_redemptions,2200_17685_1_not_null,id IS NOT NULL,,,,
CHECK,reward_redemptions,2200_17685_4_not_null,points_spent IS NOT NULL,,,,
CHECK,rewards,2200_17674_1_not_null,id IS NOT NULL,,,,
CHECK,rewards,2200_17674_2_not_null,name IS NOT NULL,,,,
CHECK,rewards,2200_17674_5_not_null,points_cost IS NOT NULL,,,,
CHECK,schools,2200_17549_1_not_null,id IS NOT NULL,,,,
CHECK,schools,2200_17549_2_not_null,name IS NOT NULL,,,,
